Assists,Attacking scrum win,Average points,Breakdown steal,Club,Conceded penalty,Conversion,Defenders beaten,Drop goal,ID,Kick 50-22,Kicks recovered,Lineout steal,Man of the match,Matches played,Metres carried,Name,Offloads,Penalty,Position,Position Name,Red cards ,Tackles,Try,Yellow cards
,2,8.0,,Italy,1,,,,103440,,,,,1,,F. Ruzza,,,11,Second Row,,2,,
,2,5.0,,Ireland,,,1,,105748,,,,,1,7,J. Conan,,,10,Back Row,,1,,
,2,4.0,,Wales,1,,1,,119955,,,,,1,1,R. Carre,,,12,Prop,,1,,
,2,4.0,,Wales,,,,,137071,,,,,1,,L. Belcher,,,13,Hooker,,2,,
,1,50.0,,England,,,10,,156918,,,,,1,106,T. Freeman,1,,6,Back Three,,8,1,
,1,13.0,,Wales,,,1,,235183,,,,,1,3,A. Mann,,,10,Back Row,,10,,
,1,13.0,,Wales,1,,,,237266,,,,,1,26,H. Deaves,,,10,Back Row,,11,,
,1,6.0,,Wales,1,,,,212902,,,,,1,12,D. Lake,,,13,Hooker,,10,,1
,1,6.0,,England,,,,,102707,,,,,1,7,T. Davison,,,12,Prop,,5,,
1,1,5.0,,England,1,,,,106142,,,,,1,7,L. Cowan-Dickie,,,13,Hooker,,1,,
,1,5.0,,Wales,,,,,175275,,,,,1,,T. Francis,,,12,Prop,,4,,
,1,3.0,,Wales,,,,,144545,,,,,1,,B. Carter,,,11,Second Row,,2,,
,1,3.0,,Scotland,2,,,,156101,,,,,1,2,G. Gilchrist,,,11,Second Row,,4,,
,1,-1.0,,England,1,,,,222623,,,,,1,,T. Curry,,,10,Back Row,,4,,1
,1,-3.0,,Wales,2,,,,110319,,,,,1,,N. Smith,,,12,Prop,,3,,1
2,,55.0,,England,,4,2,,102642,,2,,1,1,82,G. Ford,,1,8,Fly Half,,5,,
1,,52.0,,France,,,5,,190344,,1,,,1,73,M. Jalibert,4,,8,Fly Half,,11,1,
,,51.0,,France,,,5,,237223,,2,,,1,99,L. Bielle-Biarrey,,,6,Back Three,,8,2,
1,,46.0,,France,,4,6,,175123,,1,,,1,116,T. Ramos,3,1,6,Back Three,,,,
,,46.0,,England,,,2,,161516,,1,,,1,61,H. Arundell,,,6,Back Three,,4,3,
,,36.0,,France,,,7,,241689,,,,,1,61,N. Depoortere,1,,7,Centre,,14,,
,,34.0,,Italy,,,4,,229557,,,,,1,103,T. Menoncello,,,7,Centre,,6,1,
,,32.0,,Ireland,1,2,3,,241698,,2,,,1,23,S. Prendergast,2,,8,Fly Half,,13,,
,,32.0,,France,,,2,,244532,,,,,1,45,T. Attissogbe,3,,6,Back Three,,8,1,
1,,30.0,,France,1,,3,,137493,,5,,,1,35,A. Dupont,1,,9,Scrum Half,,6,,
1,,27.0,,Ireland,,,3,,172351,,,,,1,30,S. McCloskey,2,,7,Centre,,10,,
,,26.0,,Scotland,,,2,,188057,,7,,,1,4,B. White,2,,9,Scrum Half,,4,,
,,21.0,,Wales,1,,5,,120767,,,,,1,87,L. Rees-Zammit,,,6,Back Three,,4,,
,,21.0,,Ireland,1,,1,,229826,1,2,,,1,68,J. Osborne,,,6,Back Three,,3,,
,,20.0,,Wales,,,,,133163,,5,,,1,13,T. Williams,,,9,Scrum Half,,9,,
1,,20.0,,Italy,1,,1,,130487,,1,,,1,5,N. Brex,,,7,Centre,,13,,
,,20.0,,Wales,,,1,,137453,,,,,1,25,J. Adams,,,6,Back Three,,6,1,
2,,20.0,,England,1,,,,200195,,1,,,1,21,F. Dingwall,2,,7,Centre,,5,,
,,18.0,,Ireland,,,,,198451,,,,,1,4,M. Milne,,,12,Prop,,3,1,
,,17.0,,Italy,,,1,,174318,,,,,1,48,M. Ioane,2,,6,Back Three,,7,,
1,,17.0,,Wales,,1,,,240455,,1,,,1,24,D. Edwards,,,8,Fly Half,,7,,
,,17.0,,Italy,1,,,,209105,,,,,1,12,L. Lynagh,,,6,Back Three,,7,1,
,,17.0,,England,1,,2,,149322,,,,,1,17,T. Roebuck,,,6,Back Three,,3,1,
1,,16.0,,England,,,3,,150081,,,,,1,28,F. Steward,1,,6,Back Three,,2,,
,,15.0,,Italy,1,1,1,,156253,,,,,1,9,P. Garbisi,,2,8,Fly Half,,6,,
1,,15.0,,France,,,1,,222388,,,,,1,22,Y. Moefana,2,,7,Centre,,3,,
,,15.0,,Scotland,,,1,,224905,,1,,,1,4,G. Horne,,,9,Scrum Half,,1,1,
,,14.0,,Scotland,,1,,,157863,,,,,1,14,F. Russell,1,1,8,Fly Half,,5,,
,,13.0,,Ireland,,,3,,122020,,,,,1,33,J. Stockdale,,,6,Back Three,,4,,
,,12.0,,Ireland,,,1,,216173,,3,,,1,4,J. Gibson-Park,,,9,Scrum Half,,4,,
,,12.0,,Ireland,,,2,,219828,,,,,1,34,G. Ringrose,1,,7,Centre,,3,,
,,12.0,,Scotland,,,3,,110170,,,,,1,10,K. Steyn,,,6,Back Three,,6,,
,,11.0,,Scotland,1,,3,,146480,,,,,1,14,S. Tuipulotu,,,7,Centre,,5,,
,,11.0,,Scotland,1,,4,,195298,,,,,1,37,J. Dobie,,,9,Scrum Half,,1,,
,,11.0,,Italy,,,,,134407,,3,,,1,,A. Fusco,,,9,Scrum Half,,5,,
,,11.0,1,Wales,,,,,237271,,,,,1,19,E. James,,,7,Centre,,5,,
,,9.0,,England,,,3,,189326,,,,,1,38,M. Smith,,,8,Fly Half,,,,
,,9.0,,Italy,,,1,,236606,,,,,1,25,L. Marin,2,,8,Fly Half,,1,,
,,8.0,,Wales,1,,,,249307,,,,,1,,E. Mee,,,6,Back Three,,9,,
,,7.0,,Scotland,,,1,,153489,,,,,1,9,H. Jones,1,,7,Centre,,2,,
,,7.0,,Ireland,1,,,,107434,,,,,1,15,T. O'Brien,,,6,Back Three,,7,,
,,6.0,,Ireland,,,,,100659,,,,,1,23,J. Crowley,,,8,Fly Half,,4,,
,,6.0,,England,1,,,,177559,,2,,,1,13,A. Mitchell,,,9,Scrum Half,,2,,
,,6.0,,Scotland,,,2,,243508,,,,,1,20,T. Jordan,,,7,Centre,,,,
,,6.0,,France,,,,,249797,,,,,1,18,K. Gourgues,1,,7,Centre,,3,,
